Observation_ID,Observation_Date,Create_Date,Latitude,Longitude,Elevation,Abundance_Name,Abundance_Binary
3052,9/3/2020 7:00,9/4/2020,32.146534,-110.646627,1008.0,25-49%,0
3204,9/28/2021 7:00,9/28/2021,32.230474,-110.985946,714.0,75-94%,1
2161,7/26/2019 7:00,7/29/2019,32.212656,-111.00631,947.0,75-94%,1
3048,9/1/2020 7:00,9/1/2020,32.213526,-110.806402,818.0,75-94%,1
2193,9/2/2019 7:00,9/4/2019,32.286475,-110.800464,791.0,75-94%,1
2172,7/26/2019 7:00,8/17/2019,32.215629,-110.752227,881.0,Less than 5%,0
3156,7/12/2021 7:00,7/12/2021,32.294867,-110.782801,820.0,25-49%,0
3201,9/28/2021 7:00,9/28/2021,32.250188,-110.998282,706.0,75-94%,1
3047,9/1/2020 7:00,9/1/2020,32.209196,-110.807032,819.0,95% or more,1
3053,9/3/2020 7:00,9/4/2020,32.150287,-110.641214,1038.0,50-74%,1
3077,10/5/2020 7:00,10/6/2020,32.367308,-111.113966,645.0,25-49%,0
2198,9/9/2019 7:00,9/9/2019,32.250601,-111.183137,904.0,25-49%,0
2149,7/9/2019 7:00,7/9/2019,32.230428,-110.951362,744.0,,0
3213,10/25/2021 7:00,10/25/2021,32.367273,-111.113787,645.0,25-49%,0
3177,8/2/2021 7:00,8/3/2021,32.366837,-111.11351,645.0,95% or more,1
3196,9/6/2021 7:00,9/6/2021,32.367141,-111.113793,645.0,95% or more,1
3221,11/28/2021 7:00,11/28/2021,32.208569,-110.988585,721.0,Less than 5%,0
3183,8/30/2021 7:00,8/30/2021,32.25492,-111.002879,702.0,95% or more,1
3203,9/28/2021 7:00,9/28/2021,32.230348,-110.985987,714.0,75-94%,1
3032,8/19/2020 7:00,8/19/2020,32.208587,-110.79345,841.0,Less than 5%,0
3185,8/30/2021 7:00,8/30/2021,32.224253,-110.982698,715.0,95% or more,1
3198,9/16/2021 7:00,9/16/2021,32.367414,-111.114285,647.0,95% or more,1
3051,8/13/2020 7:00,9/2/2020,32.156018,-110.721457,1030.0,Less than 5%,0
2200,9/10/2019 7:00,9/10/2019,32.20458,-110.70354,872.0,50-74%,1
