file_name,labels
2152.jpg,0
2153.jpg,0
2154.jpg,0
2160.jpg,1
2161.jpg,0
2162.jpg,1
2171.jpg,1
2172.jpg,0
2173.jpg,1
2177.jpg,1
2178.jpg,1
2179.jpg,0
2180.jpg,1
2182.jpg,0
2185.jpg,0
2186.jpg,0
2187.jpg,0
2188.jpg,0
2189.jpg,1
2190.jpg,1
2191.jpg,1
2192.jpg,1
2193.jpg,0
2194.jpg,1
2195.jpg,0
2196.jpg,0
2197.jpg,0
2198.jpg,1
2199.jpg,0
2200.jpg,1
2201.jpg,0
2202.jpg,1
2203.jpg,1
2204.jpg,0
2211.jpg,1
2709.jpg,0
2980.jpg,0
2984.jpg,1
2985.jpg,0
2986.jpg,1
2987.jpg,0
2992.jpg,1
2993.jpg,1
2994.jpg,0
2999.jpg,0
3001.jpg,0
3006.jpg,0
3007.jpg,0
3008.jpg,0
3013.jpg,0
3017.jpg,1
3018.jpg,0
3019.jpg,0
3020.jpg,1
3022.jpg,1
3023.jpg,0
3028.jpg,1
3029.jpg,0
3030.jpg,1
3031.jpg,1
3032.jpg,1
3033.jpg,0
3034.jpg,1
3035.jpg,0
3036.jpg,1
3037.jpg,1
3038.jpg,0
3039.jpg,0
3040.jpg,0
3041.jpg,0
3042.jpg,0
3043.jpg,1
3044.jpg,0
3045.jpg,1
3046.jpg,0
3047.jpg,0
3048.jpg,0
3049.jpg,1
3050.jpg,0
3051.jpg,0
3052.jpg,1
3053.jpg,1
3054.jpg,1
3055.jpg,1
3057.jpg,0
3058.jpg,1
3059.jpg,1
3060.jpg,0
3061.jpg,0
3062.jpg,0
3064.jpg,0
3065.jpg,0
3066.jpg,1
3067.jpg,1
3068.jpg,1
3069.jpg,1
3070.jpg,1
3071.jpg,0
3072.jpg,0
3073.jpg,0
3074.jpg,0
3075.jpg,0
3076.jpg,0
3077.jpg,0
3078.jpg,0
3079.jpg,1
3080.jpg,0
3081.jpg,0
3082.jpg,1
3083.jpg,0
3084.jpg,1
3145.jpg,1
3146.jpg,1
3148.jpg,1
3150.jpg,1
3156.jpg,1
3158.jpg,1
3159.jpg,0
3160.jpg,1
3161.jpg,0
3162.jpg,1
3164.jpg,1
3165.jpg,0
3166.jpg,1
3167.jpg,0
3168.jpg,1
3169.jpg,0
3170.jpg,0
3171.jpg,0
3172.jpg,0
3173.jpg,1
3174.jpg,0
3175.jpg,0
3176.jpg,0
3177.jpg,0
3178.jpg,1
3179.jpg,1
3180.jpg,1
3181.jpg,1
3182.jpg,0
3183.jpg,1
3184.jpg,1
3185.jpg,0
3186.jpg,0
